Node_ID	X (m)	Y (m)	Z (m)
1	0	0	0
2	0.01	0	0
3	0.02	0	0
4	0.03	0	0
5	0.04	0	0
6	0.05	0	0
7	0.06	0	0
8	0.07	0	0
9	0.08	0	0
10	0.09	0	0
11	0.1	0	0
12	0.11	0	0
13	0.12	0	0
14	0.13	0	0
15	0.14	0	0
16	0.15	0	0
17	0.16	0	0
18	0.17	0	0
19	0.18	0	0
20	0.19	0	0
21	0.2	0	0
22	0.21	0	0
23	0.22	0	0
24	0.23	0	0
25	0.24	0	0
26	0.25	0	0
27	0.26	0	0
28	0.27	0	0
29	0.28	0	0
30	0.29	0	0
31	0.3	0	0
32	0	0.01	0
33	0.01	0.01	0
34	0.02	0.01	0
35	0.03	0.01	0
36	0.04	0.01	0
37	0.05	0.01	0
38	0.06	0.01	0
39	0.07	0.01	0
40	0.08	0.01	0
41	0.09	0.01	0
42	0.1	0.01	0
43	0.11	0.01	0
44	0.12	0.01	0
45	0.13	0.01	0
46	0.14	0.01	0
47	0.15	0.01	0
48	0.16	0.01	0
49	0.17	0.01	0
50	0.18	0.01	0
51	0.19	0.01	0
52	0.2	0.01	0
53	0.21	0.01	0
54	0.22	0.01	0
55	0.23	0.01	0
56	0.24	0.01	0
57	0.25	0.01	0
58	0.26	0.01	0
59	0.27	0.01	0
60	0.28	0.01	0
61	0.29	0.01	0
62	0.3	0.01	0
63	0	0.02	0
64	0.01	0.02	0
65	0.02	0.02	0
66	0.03	0.02	0
67	0.04	0.02	0
68	0.05	0.02	0
69	0.06	0.02	0
70	0.07	0.02	0
71	0.08	0.02	0
72	0.09	0.02	0
73	0.1	0.02	0
74	0.11	0.02	0
75	0.12	0.02	0
76	0.13	0.02	0
77	0.14	0.02	0
78	0.15	0.02	0
79	0.16	0.02	0
80	0.17	0.02	0
81	0.18	0.02	0
82	0.19	0.02	0
83	0.2	0.02	0
84	0.21	0.02	0
85	0.22	0.02	0
86	0.23	0.02	0
87	0.24	0.02	0
88	0.25	0.02	0
89	0.26	0.02	0
90	0.27	0.02	0
91	0.28	0.02	0
92	0.29	0.02	0
93	0.3	0.02	0
94	0	0.03	0
95	0.01	0.03	0
96	0.02	0.03	0
97	0.03	0.03	0
98	0.04	0.03	0
99	0.05	0.03	0
100	0.06	0.03	0
101	0.07	0.03	0
102	0.08	0.03	0
103	0.09	0.03	0
104	0.1	0.03	0
105	0.11	0.03	0
106	0.12	0.03	0
107	0.13	0.03	0
108	0.14	0.03	0
109	0.15	0.03	0
110	0.16	0.03	0
111	0.17	0.03	0
112	0.18	0.03	0
113	0.19	0.03	0
114	0.2	0.03	0
115	0.21	0.03	0
116	0.22	0.03	0
117	0.23	0.03	0
118	0.24	0.03	0
119	0.25	0.03	0
120	0.26	0.03	0
121	0.27	0.03	0
122	0.28	0.03	0
123	0.29	0.03	0
124	0.3	0.03	0
125	0	0.04	0
126	0.01	0.04	0
127	0.02	0.04	0
128	0.03	0.04	0
129	0.04	0.04	0
130	0.05	0.04	0
131	0.06	0.04	0
132	0.07	0.04	0
133	0.08	0.04	0
134	0.09	0.04	0
135	0.1	0.04	0
136	0.11	0.04	0
137	0.12	0.04	0
138	0.13	0.04	0
139	0.14	0.04	0
140	0.15	0.04	0
141	0.16	0.04	0
142	0.17	0.04	0
143	0.18	0.04	0
144	0.19	0.04	0
145	0.2	0.04	0
146	0.21	0.04	0
147	0.22	0.04	0
148	0.23	0.04	0
149	0.24	0.04	0
150	0.25	0.04	0
151	0.26	0.04	0
152	0.27	0.04	0
153	0.28	0.04	0
154	0.29	0.04	0
155	0.3	0.04	0
156	0	0.05	0
157	0.01	0.05	0
158	0.02	0.05	0
159	0.03	0.05	0
160	0.04	0.05	0
161	0.05	0.05	0
162	0.06	0.05	0
163	0.07	0.05	0
164	0.08	0.05	0
165	0.09	0.05	0
166	0.1	0.05	0
167	0.11	0.05	0
168	0.12	0.05	0
169	0.13	0.05	0
170	0.14	0.05	0
171	0.15	0.05	0
172	0.16	0.05	0
173	0.17	0.05	0
174	0.18	0.05	0
175	0.19	0.05	0
176	0.2	0.05	0
177	0.21	0.05	0
178	0.22	0.05	0
179	0.23	0.05	0
180	0.24	0.05	0
181	0.25	0.05	0
182	0.26	0.05	0
183	0.27	0.05	0
184	0.28	0.05	0
185	0.29	0.05	0
186	0.3	0.05	0
187	0	0.06	0
188	0.01	0.06	0
189	0.02	0.06	0
190	0.03	0.06	0
191	0.04	0.06	0
192	0.05	0.06	0
193	0.06	0.06	0
194	0.07	0.06	0
195	0.08	0.06	0
196	0.09	0.06	0
197	0.1	0.06	0
198	0.11	0.06	0
199	0.12	0.06	0
200	0.13	0.06	0
201	0.14	0.06	0
202	0.15	0.06	0
203	0.16	0.06	0
204	0.17	0.06	0
205	0.18	0.06	0
206	0.19	0.06	0
207	0.2	0.06	0
208	0.21	0.06	0
209	0.22	0.06	0
210	0.23	0.06	0
211	0.24	0.06	0
212	0.25	0.06	0
213	0.26	0.06	0
214	0.27	0.06	0
215	0.28	0.06	0
216	0.29	0.06	0
217	0.3	0.06	0
218	0	0.07	0
219	0.01	0.07	0
220	0.02	0.07	0
221	0.03	0.07	0
222	0.04	0.07	0
223	0.05	0.07	0
224	0.06	0.07	0
225	0.07	0.07	0
226	0.08	0.07	0
227	0.09	0.07	0
228	0.1	0.07	0
229	0.11	0.07	0
230	0.12	0.07	0
231	0.13	0.07	0
232	0.14	0.07	0
233	0.15	0.07	0
234	0.16	0.07	0
235	0.17	0.07	0
236	0.18	0.07	0
237	0.19	0.07	0
238	0.2	0.07	0
239	0.21	0.07	0
240	0.22	0.07	0
241	0.23	0.07	0
242	0.24	0.07	0
243	0.25	0.07	0
244	0.26	0.07	0
245	0.27	0.07	0
246	0.28	0.07	0
247	0.29	0.07	0
248	0.3	0.07	0
249	0	0.08	0
250	0.01	0.08	0
251	0.02	0.08	0
252	0.03	0.08	0
253	0.04	0.08	0
254	0.05	0.08	0
255	0.06	0.08	0
256	0.07	0.08	0
257	0.08	0.08	0
258	0.09	0.08	0
259	0.1	0.08	0
260	0.11	0.08	0
261	0.12	0.08	0
262	0.13	0.08	0
263	0.14	0.08	0
264	0.15	0.08	0
265	0.16	0.08	0
266	0.17	0.08	0
267	0.18	0.08	0
268	0.19	0.08	0
269	0.2	0.08	0
270	0.21	0.08	0
271	0.22	0.08	0
272	0.23	0.08	0
273	0.24	0.08	0
274	0.25	0.08	0
275	0.26	0.08	0
276	0.27	0.08	0
277	0.28	0.08	0
278	0.29	0.08	0
279	0.3	0.08	0
280	0	0.09	0
281	0.01	0.09	0
282	0.02	0.09	0
283	0.03	0.09	0
284	0.04	0.09	0
285	0.05	0.09	0
286	0.06	0.09	0
287	0.07	0.09	0
288	0.08	0.09	0
289	0.09	0.09	0
290	0.1	0.09	0
291	0.11	0.09	0
292	0.12	0.09	0
293	0.13	0.09	0
294	0.14	0.09	0
295	0.15	0.09	0
296	0.16	0.09	0
297	0.17	0.09	0
298	0.18	0.09	0
299	0.19	0.09	0
300	0.2	0.09	0
301	0.21	0.09	0
302	0.22	0.09	0
303	0.23	0.09	0
304	0.24	0.09	0
305	0.25	0.09	0
306	0.26	0.09	0
307	0.27	0.09	0
308	0.28	0.09	0
309	0.29	0.09	0
310	0.3	0.09	0
311	0	0.1	0
312	0.01	0.1	0
313	0.02	0.1	0
314	0.03	0.1	0
315	0.04	0.1	0
316	0.05	0.1	0
317	0.06	0.1	0
318	0.07	0.1	0
319	0.08	0.1	0
320	0.09	0.1	0
321	0.1	0.1	0
322	0.11	0.1	0
323	0.12	0.1	0
324	0.13	0.1	0
325	0.14	0.1	0
326	0.15	0.1	0
327	0.16	0.1	0
328	0.17	0.1	0
329	0.18	0.1	0
330	0.19	0.1	0
331	0.2	0.1	0
332	0.21	0.1	0
333	0.22	0.1	0
334	0.23	0.1	0
335	0.24	0.1	0
336	0.25	0.1	0
337	0.26	0.1	0
338	0.27	0.1	0
339	0.28	0.1	0
340	0.29	0.1	0
341	0.3	0.1	0
342	0	0.11	0
343	0.01	0.11	0
344	0.02	0.11	0
345	0.03	0.11	0
346	0.04	0.11	0
347	0.05	0.11	0
348	0.06	0.11	0
349	0.07	0.11	0
350	0.08	0.11	0
351	0.09	0.11	0
352	0.1	0.11	0
