Node	X (m)	Y (m)	Z (m)
1	15.55	35.4	38.4
2	26.55	35.4	38.4
3	15.55	26.25	38.4
4	26.55	26.25	38.4
18	21.05	35.4	38.4
35734	15.55	27.165	38.4
35736	16.65	26.25	38.4
35737	16.65	27.165	38.4
35743	17.75	26.25	38.4
35744	17.75	27.165	38.4
35750	18.85	26.25	38.4
35751	18.85	27.165	38.4
35755	19.95	26.25	38.4
35756	19.95	27.165	38.4
35760	21.05	26.25	38.4
35761	21.05	27.165	38.4
35765	22.15	26.25	38.4
35766	22.15	27.165	38.4
35770	23.25	26.25	38.4
35771	23.25	27.165	38.4
35775	24.35	26.25	38.4
35776	24.35	27.165	38.4
35780	25.45	26.25	38.4
35781	25.45	27.165	38.4
35786	26.55	27.165	38.4
35788	15.55	28.08	38.4
35791	16.65	28.08	38.4
35796	17.75	28.08	38.4
35800	18.85	28.08	38.4
35804	19.95	28.08	38.4
35808	21.05	28.08	38.4
35812	22.15	28.08	38.4
35816	23.25	28.08	38.4
35820	24.35	28.08	38.4
35824	25.45	28.08	38.4
35828	26.55	28.08	38.4
35830	15.55	28.995	38.4
35833	16.65	28.995	38.4
35838	17.75	28.995	38.4
35842	18.85	28.995	38.4
35846	19.95	28.995	38.4
35850	21.05	28.995	38.4
35854	22.15	28.995	38.4
35858	23.25	28.995	38.4
35862	24.35	28.995	38.4
35866	25.45	28.995	38.4
35870	26.55	28.995	38.4
35872	15.55	29.91	38.4
35875	16.65	29.91	38.4
35880	17.75	29.91	38.4
35884	18.85	29.91	38.4
35888	19.95	29.91	38.4
35892	21.05	29.91	38.4
35896	22.15	29.91	38.4
35900	23.25	29.91	38.4
35904	24.35	29.91	38.4
35908	25.45	29.91	38.4
35912	26.55	29.91	38.4
35914	15.55	30.825	38.4
35917	16.65	30.825	38.4
35922	17.75	30.825	38.4
35926	18.85	30.825	38.4
35930	19.95	30.825	38.4
35934	21.05	30.825	38.4
35938	22.15	30.825	38.4
35942	23.25	30.825	38.4
35946	24.35	30.825	38.4
35950	25.45	30.825	38.4
35954	26.55	30.825	38.4
35956	15.55	31.74	38.4
35959	16.65	31.74	38.4
35964	17.75	31.74	38.4
35968	18.85	31.74	38.4
35972	19.95	31.74	38.4
35976	21.05	31.74	38.4
35980	22.15	31.74	38.4
35984	23.25	31.74	38.4
35988	24.35	31.74	38.4
35992	25.45	31.74	38.4
35996	26.55	31.74	38.4
35998	15.55	32.655	38.4
36001	16.65	32.655	38.4
36006	17.75	32.655	38.4
36010	18.85	32.655	38.4
36014	19.95	32.655	38.4
36018	21.05	32.655	38.4
36022	22.15	32.655	38.4
36026	23.25	32.655	38.4
36030	24.35	32.655	38.4
36034	25.45	32.655	38.4
36038	26.55	32.655	38.4
36040	15.55	33.57	38.4
36043	16.65	33.57	38.4
36048	17.75	33.57	38.4
36052	18.85	33.57	38.4
36056	19.95	33.57	38.4
36060	21.05	33.57	38.4
36064	22.15	33.57	38.4
36068	23.25	33.57	38.4
36072	24.35	33.57	38.4
36076	25.45	33.57	38.4
36080	26.55	33.57	38.4
36082	15.55	34.485	38.4
36085	16.65	34.485	38.4
36090	17.75	34.485	38.4
36094	18.85	34.485	38.4
36098	19.95	34.485	38.4
36102	21.05	34.485	38.4
36106	22.15	34.485	38.4
36110	23.25	34.485	38.4
36114	24.35	34.485	38.4
36118	25.45	34.485	38.4
36122	26.55	34.485	38.4
36127	16.65	35.4	38.4
36133	17.75	35.4	38.4
36139	18.85	35.4	38.4
36145	19.95	35.4	38.4
36157	22.15	35.4	38.4
36163	23.25	35.4	38.4
36169	24.35	35.4	38.4
36175	25.45	35.4	38.4
