Node_ID	Mode	EigenVector_UZ
1	10	-0.000274954299179129
1	12	0.000162612101653345
1	14	-0.000139929649105407
1	17	0.00030395288453885
1	20	-8.0188507374443E-05
2	10	-0.000274167681433519
2	12	-0.000156897623394039
2	14	-0.000141819748804379
2	17	-0.000303630317526071
2	20	-7.21620341582412E-05
3	10	-3.08294757699798E-05
3	12	2.36620838888116E-06
3	14	6.03291848321905E-06
3	17	-6.50927417004588E-06
3	20	0.00019495302429126
4	10	-3.02867085697983E-05
4	12	-3.83791369962345E-06
4	14	6.06487646251107E-06
4	17	1.29321493548386E-05
4	20	0.000186591689368024
18	10	-0.000378805364910897
18	12	5.49961903489064E-06
18	14	-0.000270673663174619
18	17	3.74200785363288E-06
18	20	-9.08142937174946E-06
35734	10	-5.40269697356173E-05
35734	12	2.11323272548279E-05
35734	14	-7.38494111751928E-08
35734	17	2.05696202513389E-05
35734	20	0.000187470780533153
35736	10	-2.93058186779626E-05
35736	12	1.00780586625656E-06
35736	14	5.788085601346E-06
35736	17	-5.30066533289127E-06
35736	20	0.000194049138349035
35737	10	-5.19645678157639E-05
35737	12	1.03327099854516E-05
35737	14	-1.38370263296708E-05
35737	17	2.25821699919069E-05
35737	20	0.000202401408422074
35743	10	-2.87891815644079E-05
35743	12	5.63181509137373E-07
35743	14	5.60886230104723E-06
35743	17	-3.07006586839586E-06
35743	20	0.000193064215524885
35744	10	-5.41150706709077E-05
35744	12	7.47194136727195E-06
35744	14	-1.96943515129179E-05
35744	17	2.09093433714905E-05
35744	20	0.000214365580717318
35750	10	-2.87303857264727E-05
35750	12	2.67287918246819E-07
35750	14	5.08748618005395E-06
35750	17	-8.26326448780921E-07
35750	20	0.000192094224711045
35751	10	-5.6038635082563E-05
35751	12	5.11615869200753E-06
35751	14	-2.34585494899205E-05
35751	17	1.70709978593415E-05
35751	20	0.000222958324730487
35755	10	-2.86464673549191E-05
35755	12	3.33982910893437E-09
35755	14	4.87099433084854E-06
35755	17	9.25841550770877E-07
35755	20	0.000191336259958095
35756	10	-5.68577207522288E-05
35756	12	2.72366910365546E-06
35756	14	-2.51056190599738E-05
35756	17	1.16426328356277E-05
35756	20	0.000227303085236662
35760	10	-2.86318254861284E-05
35760	12	-3.56304656718617E-07
35760	14	4.58851355562105E-06
35760	17	2.74366082970503E-06
35760	20	0.000190705968546438
35761	10	-5.59990353385058E-05
35761	12	2.24213672971292E-07
35761	14	-2.44159291528439E-05
35761	17	5.61209672206726E-06
35761	20	0.000226831768064785
35765	10	-2.88202261317256E-05
35765	12	-8.18358149113472E-07
35765	14	4.34441183035747E-06
35765	17	4.61579044522952E-06
35765	20	0.000190276689116399
35766	10	-5.37937501175465E-05
35766	12	-2.1971253722615E-06
35766	14	-2.18769526495301E-05
35766	17	2.25224794923226E-08
35766	20	0.000222223292164966
35770	10	-2.88647629843834E-05
35770	12	-1.17114215570714E-06
35770	14	4.3962081748897E-06
35770	17	6.45716414307148E-06
35770	20	0.000189632823360189
35771	10	-5.1200606326732E-05
