Case,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,DI1,DI2,DI3,DI4,DI5,DI6,DI7,DI8,DI9,DI10
0,0.74073051,0.72991086,0.703029362,0.655304369,0.585254796,0.494972256,0.389692374,0.27728988,0.169523409,0.082012051,0.033354879,0,0,0,0,0,0,0,0,0,0
1,0.740720444,0.729808406,0.70267369,0.65482555,0.584744172,0.494497231,0.389300196,0.277007786,0.169356542,0.081941937,0.033337875,0,0,0,0,0,0,0.05,0,0,0
2,0.740697028,0.729586462,0.701891117,0.653770154,0.583617928,0.493449135,0.388434648,0.276384975,0.168988004,0.081787033,0.033300323,0,0,0,0,0,0,0.15,0,0,0
3,0.74068384,0.729466781,0.7014599,0.653187213,0.58299531,0.492869464,0.387955801,0.27604033,0.168784018,0.08170127,0.033279523,0,0,0,0,0,0,0.2,0,0,0
4,0.740669501,0.729341013,0.700998497,0.652562247,0.582327333,0.492247336,0.387441765,0.275670284,0.168564958,0.081609149,0.033257172,0,0,0,0,0,0,0.25,0,0,0
5,0.740636745,0.729071015,0.699972429,0.651167297,0.580834379,0.490855918,0.386291604,0.274842003,0.16807447,0.081402799,0.033207066,0,0,0,0,0,0,0.35,0,0,0
6,0.740617943,0.728927225,0.699400465,0.650386135,0.579996954,0.490074798,0.385645586,0.274376578,0.167798749,0.081286745,0.033178856,0,0,0,0,0,0,0.4,0,0,0
7,0.740597205,0.728778521,0.698783687,0.649540389,0.579088994,0.489227277,0.384944339,0.273871181,0.167499252,0.081160631,0.033148171,0,0,0,0,0,0,0.45,0,0,0
8,0.740729959,0.729915501,0.703043528,0.655332263,0.585301166,0.495043752,0.389801012,0.277351563,0.169554308,0.082022621,0.03335609,0,0,0,0,0,0,0.05,0,0,0
9,0.740728733,0.72992618,0.703076015,0.655396115,0.585407155,0.49520695,0.390048755,0.27748982,0.16962369,0.082046381,0.033358811,0,0,0,0,0,0,0.15,0,0,0
10,0.740728037,0.729932359,0.703094766,0.65543291,0.585468143,0.495300724,0.390190949,0.277567634,0.169662822,0.082059795,0.033360345,0,0,0,0,0,0,0.2,0,0,0
11,0.740727274,0.729939222,0.703115557,0.655473661,0.585535608,0.495404343,0.390347935,0.277652202,0.169705422,0.082074408,0.033362014,0,0,0,0,0,0,0.25,0,0,0
12,0.740726435,0.729946893,0.70313875,0.655519057,0.585610665,0.495519479,0.390522194,0.277744385,0.169751951,0.082090384,0.033363836,0,0,0,0,0,0,0.35,0,0,0
13,0.740724474,0.729965327,0.703194277,0.655627474,0.585789495,0.495793167,0.390935663,0.277955727,0.169859035,0.082127214,0.033368024,0,0,0,0,0,0,0.4,0,0,0
14,0.740723319,0.729976547,0.703227941,0.655693018,0.585897309,0.49595773,0.391183735,0.27807733,0.16992095,0.082148554,0.033370441,0,0,0,0,0,0,0.45,0,0,0
