Case,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,DI1,DI2,DI3,DI4,DI5,DI6,DI7,DI8,DI9,DI10
0,-0.052676012,-0.058208169,-0.061483014,-0.06261211,-0.06180925,-0.059421491,-0.055975668,-0.052206322,-0.04910893,-0.04804339,-0.051074862,0,0,0,0,0,0,0,0,0,0
1,-0.052676833,-0.058195995,-0.061437653,-0.062552317,-0.061745896,-0.059361785,-0.055924415,-0.05216633,-0.049081098,-0.048026544,-0.051065234,0,0,0,0,0,0,0,0,0,0.05
2,-0.052679585,-0.058155696,-0.061284804,-0.062350506,-0.061531942,-0.059160089,-0.05575124,-0.052031191,-0.048987041,-0.047969612,-0.051032694,0,0,0,0,0,0,0,0,0,0.15
3,-0.052679437,-0.058157856,-0.061293115,-0.062361493,-0.061543597,-0.059171078,-0.055760677,-0.052038557,-0.048992168,-0.047972716,-0.051034469,0,0,0,0,0,0,0,0,0,0.2
4,-0.05268414,-0.058091908,-0.061031157,-0.062014139,-0.061174766,-0.058823098,-0.055461756,-0.051805212,-0.048829715,-0.047874354,-0.050978224,0,0,0,0,0,0,0,0,0,0.25
5,-0.052681717,-0.058125332,-0.061166228,-0.06219352,-0.061365344,-0.059002955,-0.055616284,-0.051925855,-0.048913714,-0.04792522,-0.051007315,0,0,0,0,0,0,0,0,0,0.35
6,-0.052681717,-0.058125332,-0.061166228,-0.06219352,-0.061365344,-0.059002955,-0.055616284,-0.051925855,-0.048913714,-0.04792522,-0.051007315,0,0,0,0,0,0,0,0,0,0.4
7,-0.052685479,-0.058074032,-0.060956375,-0.061914525,-0.061068817,-0.058723051,-0.05537577,-0.051738064,-0.048782951,-0.047846029,-0.050962018,0,0,0,0,0,0,0,0,0,0.45
8,-0.052676012,-0.058208169,-0.061483014,-0.06261211,-0.06180925,-0.059421491,-0.055975668,-0.052206322,-0.04910893,-0.04804339,-0.051074862,0,0,0,0,0,0,0,0,0,0
9,-0.052676012,-0.058208169,-0.061483014,-0.06261211,-0.06180925,-0.059421491,-0.055975668,-0.052206322,-0.04910893,-0.04804339,-0.051074862,0,0,0,0,0,0,0,0,0,0
10,-0.052676012,-0.058208169,-0.061483014,-0.06261211,-0.06180925,-0.059421491,-0.055975668,-0.052206322,-0.04910893,-0.04804339,-0.051074862,0,0,0,0,0,0,0,0,0,0
11,-0.052676012,-0.058208169,-0.061483014,-0.06261211,-0.06180925,-0.059421491,-0.055975668,-0.052206322,-0.04910893,-0.04804339,-0.051074862,0,0,0,0,0,0,0,0,0,0
12,-0.052676012,-0.058208169,-0.061483014,-0.06261211,-0.06180925,-0.059421491,-0.055975668,-0.052206322,-0.04910893,-0.04804339,-0.051074862,0,0,0,0,0,0,0,0,0,0
13,-0.052676012,-0.058208169,-0.061483014,-0.06261211,-0.06180925,-0.059421491,-0.055975668,-0.052206322,-0.04910893,-0.04804339,-0.051074862,0,0,0,0,0,0,0,0,0,0
14,-0.052676012,-0.058208169,-0.061483014,-0.06261211,-0.06180925,-0.059421491,-0.055975668,-0.052206322,-0.04910893,-0.04804339,-0.051074862,0,0,0,0,0,0,0,0,0,0
