Case,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,DI1,DI2,DI3,DI4,DI5,DI6,DI7,DI8,DI9,DI10
0,0.757973137,0.75486889,0.74073621,0.707624372,0.651503977,0.572935503,0.477330374,0.374624462,0.278666546,0.205197712,0.165203343,0,0,0,0,0,0,0,0,0,0
1,0.758191935,0.75519356,0.741253336,0.708381613,0.652497761,0.574102996,0.47854615,0.37570004,0.279358694,0.205265477,0.165085378,0,0,0,0,0,0,0,0,0,0.05
2,0.75876121,0.755948686,0.742296682,0.709733656,0.654110941,0.575871803,0.48031346,0.377258723,0.280453086,0.205628118,0.165147285,0,0,0,0,0,0,0,0,0,0.15
3,0.760029095,0.757651814,0.744692448,0.712892108,0.657929916,0.580092993,0.48454018,0.380970468,0.283027726,0.206460805,0.165284897,0,0,0,0,0,0,0,0,0,0.2
4,0.760736909,0.758602793,0.746030601,0.714656833,0.660064301,0.582452785,0.486903803,0.383047208,0.28446959,0.206927274,0.165361701,0,0,0,0,0,0,0,0,0,0.25
5,0.762331778,0.760745893,0.749047188,0.718636429,0.664879013,0.587777493,0.49223901,0.387737645,0.287729591,0.207982473,0.165534627,0,0,0,0,0,0,0,0,0,0.35
6,0.763234646,0.761959321,0.750755778,0.720891332,0.667608035,0.590796525,0.495265119,0.390399717,0.289581918,0.208582464,0.165632439,0,0,0,0,0,0,0,0,0,0.4
7,0.765302281,0.764738691,0.754670958,0.726060772,0.673866993,0.597723184,0.50221102,0.396514468,0.293842351,0.209964095,0.165856198,0,0,0,0,0,0,0,0,0,0.45
8,0.757799714,0.754716908,0.740669477,0.707746639,0.65196598,0.573378882,0.477429862,0.374523835,0.278473615,0.205001622,0.165053258,0,0,0,0,0.05,0,0,0,0,0
9,0.758119563,0.75528257,0.741704865,0.709470986,0.654636732,0.576050773,0.479220259,0.375629757,0.279046861,0.205217481,0.165111663,0,0,0,0,0.15,0,0,0,0,0
10,0.758302218,0.755605918,0.742297357,0.710458542,0.656167152,0.577581951,0.480246692,0.376263906,0.27937546,0.205341021,0.165145009,0,0,0,0,0.2,0,0,0,0,0
11,0.758503045,0.755961708,0.742949842,0.711546793,0.657854355,0.579270071,0.481378688,0.376963381,0.279737816,0.205477084,0.165181664,0,0,0,0,0.25,0,0,0,0,0
12,0.758971282,0.756792384,0.744475518,0.714094364,0.661807167,0.58322535,0.484032459,0.378603636,0.280587149,0.205795301,0.165267099,0,0,0,0,0.35,0,0,0,0,0
13,0.759246497,0.75728139,0.745375219,0.715598696,0.664143403,0.585563234,0.485602059,0.379574091,0.281089395,0.205983002,0.165317297,0,0,0,0,0.4,0,0,0,0,0
14,0.759555938,0.757831904,0.746389519,0.717296503,0.666782072,0.588203912,0.487375874,0.380671092,0.281656899,0.206194658,0.16537372,0,0,0,0,0.45,0,0,0,0,0
