Case,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,DI1,DI2,DI3,DI4,DI5,DI6,DI7,DI8,DI9,DI10
0,-0.000334614,-0.000329729,-0.000312647,-0.000282846,-0.00024101,-0.000189498,-0.000132079,-0.000074304,-0.000024523,0.000009894,0.000022751,0,0,0,0,0,0,0,0,0,0
1,-0.000334662,-0.000329655,-0.000312313,-0.000282376,-0.000240493,-0.000189007,-0.000131666,-0.000074003,-0.000024344,0.000009967,0.000022764,0.05,0,0,0,0,0,0,0,0,0
2,-0.000334244,-0.000329516,-0.000312725,-0.000283097,-0.000241333,-0.000189809,-0.000132305,-0.000074397,-0.00002447,0.000010064,0.000022967,0.1,0,0,0,0,0,0,0,0,0
3,-0.000334713,-0.000329578,-0.000311957,-0.000281873,-0.00023994,-0.000188482,-0.000131224,-0.00007368,-0.000024153,0.000010044,0.000022778,0.15,0,0,0,0,0,0,0,0,0
4,-0.000334768,-0.000329495,-0.000311576,-0.000281332,-0.000239347,-0.000187917,-0.00013075,-0.000073333,-0.000023947,0.000010127,0.000022793,0.2,0,0,0,0,0,0,0,0,0
5,-0.000334826,-0.000329407,-0.000311165,-0.000280751,-0.000238708,-0.00018731,-0.000130239,-0.000072961,-0.000023726,0.000010217,0.000022809,0.25,0,0,0,0,0,0,0,0,0
6,-0.000334889,-0.000329314,-0.000310723,-0.000280125,-0.00023802,-0.000186655,-0.000129689,-0.000072559,-0.000023487,0.000010314,0.000022826,0.3,0,0,0,0,0,0,0,0,0
7,-0.000334957,-0.000329215,-0.000310246,-0.000279448,-0.000237274,-0.000185946,-0.000129093,-0.000072124,-0.000023229,0.000010418,0.000022845,0.35,0,0,0,0,0,0,0,0,0
8,-0.00033503,-0.00032911,-0.000309729,-0.000278713,-0.000236466,-0.000185177,-0.000128447,-0.000071651,-0.000022949,0.000010532,0.000022865,0.4,0,0,0,0,0,0,0,0,0
9,-0.000335109,-0.000328998,-0.000309167,-0.000277913,-0.000235586,-0.000184339,-0.000127742,-0.000071137,-0.000022644,0.000010655,0.000022887,0.45,0,0,0,0,0,0,0,0,0
10,-0.000335195,-0.00032888,-0.000308555,-0.00027704,-0.000234624,-0.000183424,-0.000126972,-0.000070575,-0.000022311,0.00001079,0.000022912,0.5,0,0,0,0,0,0,0,0,0
11,-0.000334588,-0.000329952,-0.000313099,-0.000283235,-0.000241344,-0.000189775,-0.000132291,-0.00007445,-0.000024605,0.000009864,0.000022748,0,0.05,0,0,0,0,0,0,0,0
12,-0.000334609,-0.000330118,-0.000313251,-0.000283179,-0.000241183,-0.000189578,-0.000132104,-0.000074303,-0.000024512,0.000009904,0.000022758,0,0.1,0,0,0,0,0,0,0,0
13,-0.000334631,-0.000330298,-0.000313415,-0.000283119,-0.00024101,-0.000189365,-0.000131903,-0.000074144,-0.000024412,0.000009948,0.000022769,0,0.15,0,0,0,0,0,0,0,0
14,-0.000334655,-0.000330493,-0.000313595,-0.000283055,-0.000240823,-0.000189134,-0.000131684,-0.000073972,-0.000024304,0.000009995,0.000022781,0,0.2,0,0,0,0,0,0,0,0
15,-0.000334681,-0.000330704,-0.00031379,-0.000282986,-0.000240619,-0.000188884,-0.000131446,-0.000073785,-0.000024186,0.000010047,0.000022793,0,0.25,0,0,0,0,0,0,0,0
16,-0.00033471,-0.000330936,-0.000314005,-0.000282911,-0.000240398,-0.000188611,-0.000131187,-0.00007358,-0.000024058,0.000010103,0.000022807,0,0.3,0,0,0,0,0,0,0,0
17,-0.000334741,-0.00033119,-0.000314241,-0.000282829,-0.000240155,-0.000188312,-0.000130904,-0.000073357,-0.000023917,0.000010165,0.000022822,0,0.35,0,0,0,0,0,0,0,0
18,-0.000334775,-0.000331469,-0.000314503,-0.000282741,-0.000239889,-0.000187984,-0.000130592,-0.000073111,-0.000023763,0.000010232,0.000022839,0,0.4,0,0,0,0,0,0,0,0
19,-0.000334813,-0.000331778,-0.000314795,-0.000282645,-0.000239596,-0.000187622,-0.000130248,-0.00007284,-0.000023592,0.000010307,0.000022857,0,0.45,0,0,0,0,0,0,0,0
20,-0.000334855,-0.000332122,-0.000315123,-0.00028254,-0.000239272,-0.00018722,-0.000129865,-0.000072538,-0.000023402,0.00001039,0.000022877,0,0.5,0,0,0,0,0,0,0,0
21,-0.000334554,-0.000329832,-0.00031308,-0.000283529,-0.000241895,-0.000190357,-0.000132732,-0.000074752,-0.000024776,0.000009797,0.000022737,0,0,0,0,0.05,0,0,0,0,0
22,-0.000334537,-0.000329869,-0.000313212,-0.000283792,-0.000242333,-0.000190792,-0.000133023,-0.000074932,-0.000024869,0.000009765,0.000022735,0,0,0,0,0.1,0,0,0,0,0
23,-0.000334518,-0.000329909,-0.000313358,-0.000284081,-0.000242813,-0.000191268,-0.000133341,-0.000075128,-0.000024971,0.00000973,0.000022733,0,0,0,0,0.15,0,0,0,0,0
24,-0.000334498,-0.000329954,-0.000313517,-0.000284399,-0.00024334,-0.00019179,-0.00013369,-0.000075344,-0.000025082,0.000009692,0.00002273,0,0,0,0,0.2,0,0,0,0,0
25,-0.000334475,-0.000330004,-0.000313693,-0.000284749,-0.000243922,-0.000192366,-0.000134075,-0.000075582,-0.000025205,0.00000965,0.000022727,0,0,0,0,0.25,0,0,0,0,0
26,-0.00033445,-0.000330058,-0.000313889,-0.000285138,-0.000244568,-0.000193004,-0.000134502,-0.000075846,-0.000025341,0.000009604,0.000022724,0,0,0,0,0.3,0,0,0,0,0
